int,resp,probs,feedback,Subject,Block,Run,Task,Main
450.0,452.59147064371956,0.43287032388931695,0.033164049863013696,1,Short Uniform,1006,1,True
750.0,518.8231543893958,0.16905219827429652,95.00930479372293,1,Short Uniform,1007,1,True
450.0,633.766169439269,0.16389405550023223,166.76545694015863,1,Short Uniform,1008,1,True
825.0,588.0505460523719,0.2616698690486537,82.49042237073148,1,Short Uniform,1009,1,True
675.0,706.044060673361,0.6711584077106242,2.1151905691990467,1,Short Uniform,1010,1,True
675.0,729.2341041823638,0.5978455859860119,6.455611646559103,1,Short Uniform,1011,1,True
825.0,618.0626848452468,0.11458887339048256,62.91724871031425,1,Short Uniform,1012,1,True
450.0,691.3056454976278,0.36809903025851476,287.5477261680337,1,Short Uniform,1013,1,True
450.0,639.1844778027582,0.21365856506137534,176.74452662470284,1,Short Uniform,1014,1,True
825.0,831.7241755669464,0.2936985220315635,0.06643090843727358,1,Short Uniform,1015,1,True
600.0,736.0303992295571,0.09271335729347854,51.400748651535274,1,Short Uniform,1016,1,True
750.0,649.4596455286764,0.5966463510803037,17.970422892834474,1,Short Uniform,1017,1,True
525.0,581.4374333547235,0.16312175109554083,11.556222707188574,1,Short Uniform,1018,1,True
675.0,499.53066879646343,0.11152692926946742,67.57637573227196,1,Short Uniform,1019,1,True
450.0,611.9089514461417,0.3081210576981267,129.45436325130407,1,Short Uniform,1020,1,True
825.0,640.0148621008645,0.22869832106887136,50.27658584912714,1,Short Uniform,1021,1,True
525.0,510.5398108631118,0.15236963071610338,0.7586288249417823,1,Short Uniform,1022,1,True
825.0,547.9965638536611,0.15685147289312018,112.7359465739267,1,Short Uniform,1023,1,True
600.0,475.08652877628026,0.6492311774600611,43.34270914766406,1,Short Uniform,1024,1,True
600.0,480.7899695179776,0.03883682346196826,39.47508713201307,1,Short Uniform,1025,1,True
450.0,571.3293383831144,0.25098426228953535,72.69534988881126,1,Short Uniform,1026,1,True
750.0,677.3311280812991,0.610826344857906,9.388026570553883,1,Short Uniform,1027,1,True
525.0,495.0538067054807,0.5021825704636359,3.253603602114145,1,Short Uniform,1028,1,True
