int,resp,probs,feedback,Subject,Block,Run,Task,Main
675.0,599.636200367702,0.08537675923026225,12.465738919104867,1,Short Uniform,1218,1,True
600.0,618.6077773529763,0.5247659163637816,0.9618038278276061,1,Short Uniform,1219,1,True
450.0,369.9944003803277,0.057187416766543014,31.60936281730029,1,Short Uniform,1220,1,True
825.0,667.1658618405721,0.8075812944979548,36.60108748360605,1,Short Uniform,1221,1,True
525.0,433.57069508335644,0.19915197045535923,30.32859064867332,1,Short Uniform,1222,1,True
750.0,761.0884945271825,0.4223314676996765,0.21858615267441295,1,Short Uniform,1223,1,True
750.0,676.1752713884604,0.0635690033310376,9.689049874786626,1,Short Uniform,1224,1,True
675.0,848.4617017025338,0.8231682501634926,66.03887398088081,1,Short Uniform,1225,1,True
825.0,462.2896775712006,0.011236886434574605,193.29113387901356,1,Short Uniform,1226,1,True
750.0,779.5327890814351,0.8811215740056593,1.5505522327618362,1,Short Uniform,1227,1,True
450.0,519.8863928574634,0.09426808561911489,24.11905139075414,1,Short Uniform,1228,1,True
525.0,457.69809173986494,0.2757463979147708,16.433730087820905,1,Short Uniform,1229,1,True
450.0,495.932762254539,0.06233980419261107,10.418857522627174,1,Short Uniform,1230,1,True
675.0,785.8658140058553,0.35017820627277885,26.97663366843546,1,Short Uniform,1231,1,True
825.0,742.6766271933735,0.2558451820370024,9.957227122510645,1,Short Uniform,1232,1,True
750.0,663.198075318882,0.8247828999611375,13.394798450393733,1,Short Uniform,1233,1,True
450.0,560.5774490863776,0.05210462693595593,60.38208516765639,1,Short Uniform,1234,1,True
675.0,804.5888561351125,0.8583263647054693,36.85766065164745,1,Short Uniform,1235,1,True
525.0,559.0752268276536,0.09579257635591508,4.212684202652323,1,Short Uniform,1236,1,True
600.0,577.299277169892,0.4761924665495282,1.431452269470521,1,Short Uniform,1237,1,True
750.0,749.2988130584035,0.43233931515920193,0.0008740677814495981,1,Short Uniform,1238,1,True
825.0,519.4790077940892,0.18029059046465476,137.14317969290613,1,Short Uniform,1239,1,True
525.0,560.5802812841889,0.12551112397590328,4.59303915197099,1,Short Uniform,1240,1,True
600.0,587.756072824048,0.5443398350204323,0.4164270908055975,1,Short Uniform,1241,1,True
750.0,587.926840564346,0.03798393079919929,46.69814935014209,1,Short Uniform,1242,1,True
825.0,764.2870909198487,0.4486450742023153,5.415694881872873,1,Short Uniform,1243,1,True
750.0,602.7857661740322,0.8332560926668251,38.5280544728297,1,Short Uniform,1244,1,True
450.0,653.3846764679948,0.5247252277630999,204.27321788637502,1,Short Uniform,1245,1,True
525.0,528.7423852871226,0.11030365910374688,0.050813415464024375,1,Short Uniform,1246,1,True
450.0,464.26035972321523,0.26929118516953676,1.004236342891354,1,Short Uniform,1247,1,True
525.0,466.7533157810717,0.3610202451833792,12.309029378683176,1,Short Uniform,1248,1,True
750.0,619.8026196066144,0.822806649433408,30.1357473089777,1,Short Uniform,1249,1,True
825.0,730.9318863423765,0.47208238385225604,13.001006438352352,1,Short Uniform,1250,1,True
675.0,530.1422556979813,0.05022193124362527,46.054904986049976,1,Short Uniform,1251,1,True
750.0,818.1899154570899,0.052173723116445976,8.266425902302347,1,Short Uniform,1252,1,True
525.0,431.5543661948559,0.2945795879674444,31.681039373224813,1,Short Uniform,1253,1,True
600.0,696.0007111498538,0.3598381676540236,25.60037928132686,1,Short Uniform,1254,1,True
450.0,429.85473633842327,0.34589461692247064,2.0041069036762673,1,Short Uniform,1255,1,True
600.0,481.1025907276604,0.0471900824311474,39.26831647687285,1,Short Uniform,1256,1,True
525.0,760.6604707535106,0.34314956383170686,201.49063936785933,1,Short Uniform,1257,1,True
450.0,705.1555807895043,0.3004455094635701,321.50306374335423,1,Short Uniform,1258,1,True
750.0,621.6738852890295,0.35822487565461747,29.27571860766784,1,Short Uniform,1259,1,True
525.0,509.788519546989,0.3477501070166877,0.8395070750923752,1,Short Uniform,1260,1,True
750.0,586.288648156889,0.10450976896807856,47.646945284086875,1,Short Uniform,1261,1,True
825.0,844.6209319165409,0.44195134662071367,0.5656286049932561,1,Short Uniform,1262,1,True
675.0,701.885961034513,0.3988260158256762,1.5865128137159978,1,Short Uniform,1263,1,True
750.0,783.0055663943707,0.44615332910622935,1.9366531786901557,1,Short Uniform,1264,1,True
825.0,798.2362666157454,0.5188822989343068,1.0524112759059145,1,Short Uniform,1265,1,True
525.0,538.5761410067671,0.05006151579905758,0.6687042345056626,1,Short Uniform,1266,1,True
525.0,386.19109405114034,0.36863262906855393,69.90625803435597,1,Short Uniform,1267,1,True
600.0,773.6647767886393,0.07859431087396718,83.7762630473553,1,Short Uniform,1268,1,True
525.0,449.4912284148841,0.42406764614680575,20.68598489358078,1,Short Uniform,1269,1,True
675.0,622.9865474001848,0.4213529242351546,5.937776134657279,1,Short Uniform,1270,1,True
825.0,688.9497481090981,0.37212464064777767,27.195108965403648,1,Short Uniform,1271,1,True
525.0,541.6051330257246,0.5434109254124259,1.0003825589188597,1,Short Uniform,1272,1,True
525.0,604.2905424104353,0.07923180857174124,22.80994146300601,1,Short Uniform,1273,1,True
