Subj,Cond,Trial,Ts,Tp,Main
1,long,1,1129.3,1330.896036961708,True
1,long,2,1094.1,923.5452012631607,True
1,long,3,1129.3,986.7836812049248,True
1,long,4,1164.6,1155.4683172672271,True
1,long,5,1164.6,1116.6667544319125,True
1,long,6,1164.6,1042.5835115640612,True
1,long,7,1023.5,856.4606613338126,True
1,long,8,1058.8,1282.8799429804278,True
1,long,9,988.18,1010.9682883570292,True
1,long,10,1023.5,1163.6581094551648,True
1,long,11,917.59,1007.7957935338316,True
1,long,12,952.88,926.8966057005335,True
1,long,13,1094.1,1116.2109582909843,True
1,long,14,1164.6,1187.790651736786,True
1,long,15,917.59,895.408587565044,True
1,long,16,988.18,1244.4015075401705,True
1,long,17,1058.8,972.2493731904349,True
1,long,18,847.01,1159.530610780494,True
1,long,19,1058.8,1107.4802846106904,True
1,long,20,1058.8,963.5708680000621,True
1,long,21,952.88,1022.336744032037,True
1,long,22,882.3,863.5043578128821,True
1,long,23,1023.5,1092.6990744033915,True
1,long,24,1199.9,1175.1414541085392,True
1,long,25,1094.1,1064.595764371683,True
1,long,26,1058.8,1025.9841176264324,True
1,long,27,1164.6,1222.0942250253577,True
1,long,28,952.88,1128.5389457512965,True
1,long,29,847.01,748.7335870743824,True
1,long,30,952.88,1108.8753307901486,True
1,long,31,1199.9,1388.3497663418898,True
1,long,32,882.3,942.3391708658007,True
1,long,33,1058.8,1151.2636040413468,True
1,long,34,1094.1,1500.9216251136213,True
1,long,35,847.01,938.228462199895,True
1,long,36,1094.1,1080.9699274603167,True
1,long,37,1094.1,992.2699751168287,True
1,long,38,1199.9,1599.555670780956,True
1,long,39,1199.9,1035.7575138362301,True
1,long,40,1058.8,988.309479958955,True
1,long,41,1164.6,1350.3752498931383,True
1,long,42,917.59,881.2006095261036,True
1,long,43,1199.9,1181.2079735124485,True
1,long,44,1058.8,1102.8146407108063,True
1,long,45,1129.3,1094.9574500800531,True
1,long,46,1199.9,1213.5174450958787,True
1,long,47,1199.9,942.7621428675176,True
1,long,48,1023.5,1399.6656751546,True
1,long,49,1094.1,1035.7404339145826,True
1,long,50,1129.3,1149.4302620116077,True
1,long,51,1058.8,1103.2958973395735,True
1,long,52,1129.3,1282.689128210562,True
1,long,53,1164.6,1008.7913631308091,True
1,long,54,1058.8,1093.3135078707312,True
1,long,55,1199.9,934.0317477764445,True
1,long,56,1023.5,1016.7679488611325,True
1,long,57,847.01,867.6763562572771,True
1,long,58,1058.8,1245.4799965694913,True
1,long,59,847.01,1064.908734500962,True
1,long,60,1129.3,1262.5946107493287,True
1,long,61,1164.6,1031.9909401216155,True
1,long,62,1094.1,1432.3730598666846,True
1,long,63,847.01,947.8467500657625,True
1,long,64,988.18,987.7541747810131,True
1,long,65,988.18,1068.5051022907578,True
1,long,66,952.88,1212.7239060394975,True
1,long,67,847.01,722.7893805158989,True
1,long,68,1129.3,976.4972247479644,True
1,long,69,882.3,1046.6089021217908,True
1,long,70,1199.9,1073.8831551467167,True
1,long,71,1164.6,1057.8836744002895,True
1,long,72,1094.1,1192.376250793921,True
1,long,73,1199.9,1218.620850895657,True
1,long,74,882.3,931.3525437249782,True
1,long,75,917.59,1164.11200843126,True
1,long,76,882.3,714.44718095562,True
1,long,77,1199.9,1540.0454636034824,True
1,long,78,847.01,898.8486839590684,True
1,long,79,917.59,1058.7463638131615,True
1,long,80,988.18,996.3992276687236,True
1,long,81,847.01,903.1859763999516,True
1,long,82,917.59,1006.5980237514763,True
1,long,83,1023.5,977.1090754489471,True
1,long,84,1058.8,1112.572966345237,True
1,long,85,917.59,937.3143777668613,True
1,long,86,1094.1,1295.119910463348,True
1,long,87,847.01,954.8920575369756,True
1,long,88,1199.9,1223.268836077374,True
1,long,89,1129.3,1083.0397402404483,True
1,long,90,1023.5,1153.936544523734,True
1,long,91,1058.8,1005.3037175486668,True
1,long,92,1094.1,991.3015092565981,True
1,long,93,1129.3,1161.4987403673945,True
1,long,94,1199.9,950.4245408295435,True
1,long,95,1164.6,900.1440732838595,True
1,long,96,1199.9,1091.358729985067,True
1,long,97,882.3,910.7021358736031,True
1,long,98,1199.9,1145.6207241448285,True
1,long,99,917.59,1027.6479344325508,True
1,long,100,1058.8,912.2320647421625,True
1,long,101,917.59,970.4574948406737,True
1,long,102,1199.9,1539.9000283638302,True
1,long,103,952.88,754.9810508862039,True
1,long,104,952.88,962.2805626133623,True
1,long,105,988.18,959.9382104943523,True
1,long,106,917.59,738.2623474501102,True
1,long,107,847.01,705.9290456937739,True
1,long,108,952.88,1245.7717603667281,True
1,long,109,988.18,1103.1995340299695,True
1,long,110,1164.6,967.5131152309044,True
1,long,111,1023.5,789.1626267639133,True
1,long,112,1164.6,1038.0707418460065,True
1,long,113,952.88,894.793860219361,True
1,long,114,988.18,1344.663959489876,True
1,long,115,1094.1,1410.2375167871003,True
1,long,116,1129.3,873.5059043713412,True
1,long,117,988.18,997.7436135536626,True
1,long,118,1199.9,1412.722044068915,True
1,long,119,1129.3,1167.2750417459079,True
1,long,120,1023.5,1015.9955230645419,True
1,long,121,988.18,1075.033655616318,True
1,long,122,917.59,983.3039913598302,True
1,long,123,1129.3,1175.7012538574515,True
1,long,124,1129.3,1076.112335168811,True
1,long,125,882.3,880.4284666995964,True
1,long,126,952.88,1116.3593896559757,True
1,long,127,952.88,1250.547628021051,True
1,long,128,847.01,729.2941867213023,True
1,long,129,1129.3,1085.2643751566015,True
1,long,130,952.88,1099.015782759243,True
1,long,131,988.18,1189.503930957863,True
1,long,132,1023.5,1027.6561538114345,True
1,long,133,1199.9,1197.6322144190715,True
1,long,134,847.01,803.8838525332881,True
1,long,135,988.18,824.0985274124165,True
1,long,136,1199.9,1131.5499112268978,True
1,long,137,1058.8,1113.624975188409,True
1,long,138,1199.9,1019.2054500305326,True
1,long,139,988.18,947.0611397593657,True
1,long,140,952.88,1241.1327363036519,True
1,long,141,847.01,977.5568732089162,True
1,long,142,847.01,924.1630840735988,True
1,long,143,952.88,976.8245612473801,True
1,long,144,1199.9,1454.3648657220303,True
1,long,145,917.59,958.4428276766645,True
1,long,146,1094.1,1001.0156721864472,True
1,long,147,952.88,954.0955438804784,True
1,long,148,1129.3,1098.0503986367132,True
1,long,149,882.3,883.7843042097168,True
1,long,150,847.01,972.1524840245102,True
1,long,151,1164.6,1181.1113321308776,True
1,long,152,1164.6,1373.5490488527855,True
