Subject,Cond,Trial,T_s,T_p,Main
0,One,93,2357.23,2357.23,Train
0,One,94,2206.85,2206.85,Train
0,One,95,1814.63,1814.63,Train
0,One,96,1954.22,1954.22,Train
0,One,97,1468.6,1468.6,Train
0,One,98,2083.83,2083.83,Train
0,One,99,2198.52,2198.52,Train
0,One,100,1825.05,1825.05,Train
0,One,101,1794.67,1794.67,Train
0,One,102,2096.17,2096.17,Train
0,One,103,1848.78,1848.78,Train
0,One,104,2112.14,2112.14,Train
0,One,105,1859.83,1859.83,Train
0,One,106,2113.05,2113.05,Train
0,One,107,2263.46,2263.46,Train
0,One,108,1541.37,1541.37,Train
0,One,109,1691.46,1691.46,Train
0,One,110,2096.51,2096.51,Train
0,One,111,2072.75,2072.75,Train
0,One,112,1931.9,1931.9,Train
0,One,113,2174.62,2174.62,Train
0,One,114,1874.5,1874.5,Train
0,One,115,1812.15,1812.15,Train
0,One,116,1976.13,1976.13,Train
0,One,117,1744.95,1744.95,Train
0,One,118,1955.24,1955.24,Train
0,One,119,1377.81,1377.81,Train
0,One,120,2083.66,2083.66,Train
0,One,121,1945.82,1945.82,Train
0,One,122,1875.25,1875.25,Train
0,One,123,1689.74,1689.74,Train
0,One,124,1942.01,1942.01,Train
0,One,125,1971.26,1971.26,Train
0,One,126,1834.02,1834.02,Train
0,One,127,2123.86,2123.86,Train
0,One,128,1513.4,1513.4,Train
0,One,129,1693.95,1693.95,Train
0,One,130,2333.27,2333.27,Train
0,One,131,1383.06,1383.06,Train
0,One,132,1609.01,1609.01,Train
0,One,133,1582.02,1582.02,Train
0,One,134,1733.74,1733.74,Train
0,One,135,1901.24,1901.24,Train
0,One,136,2150.95,2150.95,Train
0,One,137,1824.68,1824.68,Train
0,One,138,1846.84,1846.84,Train
0,One,139,1571.28,1571.28,Train
0,One,140,2061.72,2061.72,Train
0,One,141,2348.8,2348.8,Train
0,One,142,1894.54,1894.54,Train
0,One,143,1852.72,1852.72,Train
0,One,144,1908.1,1908.1,Train
0,One,145,1505.62,1505.62,Train
0,One,146,1862.31,1862.31,Train
0,One,147,2111.21,2111.21,Train
0,One,148,2075.78,2075.78,Train
0,One,149,2237.27,2237.27,Train
0,One,150,1418.3,1418.3,Train
0,One,151,1607.49,1607.49,Train
0,One,152,1865.85,1865.85,Train
0,One,153,1583.28,1583.28,Train
0,One,154,2196.38,2196.38,Train
0,One,155,2015.22,2015.22,Train
0,One,156,1587.0,1587.0,Train
0,One,157,1632.23,1632.23,Train
0,One,158,1742.47,1742.47,Train
0,One,159,2237.32,2237.32,Train
0,One,160,2102.79,2102.79,Train
0,One,161,2050.83,2050.83,Train
0,One,162,1580.6,1580.6,Train
0,One,163,2031.12,2031.12,Train
0,One,164,2185.72,2185.72,Train
0,One,165,2020.38,2020.38,Train
0,One,166,1979.43,1979.43,Train
0,One,167,2012.15,2012.15,Train
0,One,168,1934.48,1934.48,Train
0,One,169,1696.39,1696.39,Train
0,One,170,2345.6,2345.6,Train
0,One,171,2374.38,2374.38,Train
0,One,172,1918.62,1918.62,Train
0,One,173,1669.96,1669.96,Train
0,One,174,2345.62,2345.62,Train
0,One,175,2058.44,2058.44,Train
0,One,176,2373.38,2373.38,Train
0,One,177,1865.36,1865.36,Train
0,One,178,1769.61,1769.61,Train
0,One,179,1812.89,1812.89,Train
0,One,180,1569.64,1569.64,Train
0,One,181,2394.44,2394.44,Train
0,One,182,1768.11,1768.11,Train
0,One,183,1941.37,1941.37,Train
0,One,184,1872.89,1872.89,Train
0,One,185,2151.98,2151.98,Train
0,One,186,1775.28,1775.28,Train
0,One,187,2124.6,2124.6,Train
0,One,188,2162.12,2162.12,Train
0,One,189,1937.43,1937.43,Train
0,One,190,1831.14,1831.14,Train
0,One,191,2180.28,2180.28,Train
0,One,192,2064.54,2064.54,Train
0,One,193,2402.55,2402.55,Train
0,One,194,1910.05,1910.05,Train
0,One,195,2178.17,2178.17,Train
0,One,196,1989.64,1989.64,Train
0,One,197,1313.11,1313.11,Train
0,One,198,1693.51,1693.51,Train
0,One,199,1987.26,1987.26,Train
0,One,200,1717.18,1717.18,Train
0,One,201,2021.8,2021.8,Train
0,One,202,1677.64,1677.64,Train
0,One,203,1841.29,1841.29,Train
0,One,204,1808.11,1808.11,Train
0,One,205,2188.76,2188.76,Train
0,One,206,1899.34,1899.34,Train
0,One,207,1712.46,1712.46,Train
0,One,208,2217.72,2217.72,Train
0,One,209,2043.9,2043.9,Train
0,One,210,1744.38,1744.38,Train
0,One,211,2057.65,2057.65,Train
0,One,212,2001.34,2001.34,Train
0,One,213,2059.57,2059.57,Train
0,One,214,1663.56,1663.56,Train
0,One,215,1998.18,1998.18,Train
0,One,216,1792.05,1792.05,Train
0,One,217,2309.53,2309.53,Train
0,One,218,1691.62,1691.62,Train
0,One,219,2104.21,2104.21,Train
0,One,220,1572.12,1572.12,Train
0,One,221,1810.75,1810.75,Train
0,One,222,1477.85,1477.85,Train
0,One,223,1750.99,1750.99,Train
0,One,224,2317.74,2317.74,Train
0,One,225,1652.07,1652.07,Train
0,One,226,1621.59,1621.59,Train
0,One,227,2180.6,2180.6,Train
0,One,228,2214.17,2214.17,Train
